,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
436,Improving EEG feature learning via synchronized facial video,X. Li; X. Jia; G. Xun; A. Zhang,"Dept. of Computer Science and Engineering, State University of New York at Buffalo, Buffalo, NY, U.S.A.",2015 IEEE International Conference on Big Data (Big Data),20151228.0,2015,,,843,848,"Morden physiological analysis begins to involve more and more types of information. Electroencephalogram (EEG) signals as a typical example is starting to be analyzed with facial expressions videos to detect emotions. Emotions play an important role in the daily life of human beings, the need and importance of automatic emotion recognition has grown with increasing role of human computer interface applications. In this paper, we concentrate on recognition of the emotions jointly from ""inner"" and ""outer"" reactions, which are electroencephalogram (EEG) signals and facial expression video. Due to the streaming nature of this problem, the data volume and velocity is very challenging. We address these challenges from the theoretic perspective and propose a real time algorithm based on EEG signals and synchronized facial video to learn feature vector jointly. Our algorithm consists of an unsupervisedly EEG dictionary component based on deep learning theorem, and a probability pooling component transforms a continuous sequential signal into an EEG ""sentence"" which consists of a sequence of EEG words. The EEG sentence is then jointly learned with video features into a new fixed length feature representation for emotion classification. We overcome several computational challenges on the data based on the idea of convolution and pooling, and we conduct extensive evaluation for each component of our model. We also demonstrate the state-of-the-art classification result on real-world dataset. The superior performances on the emotion recognition task indicates that 1) the natural language scenario can be applied in EEG sequences and 2) borrowing video modality can increase the overall performance.",,Electronic:978-1-4799-9926-2; POD:978-1-4799-9927-9,10.1109/BigData.2015.7363831,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7363831,Classification;Data stream;EEG;Feature Learning,Dictionaries;Electroencephalography;Emotion recognition;Physiology;Streaming media;Synchronization;Transforms,electroencephalography;emotion recognition;face recognition;medical image processing;probability;video signal processing,EEG dictionary component;EEG feature learning;automatic emotion recognition;deep learning theorem;electroencephalogram signal;emotion classification;emotion detection;facial expression video;feature vector;human computer interface;natural language;physiological analysis;probability pooling component;synchronized facial video;video modality,,,,10.0,,,,Oct. 29 2015-Nov. 1 2015,,IEEE,IEEE Conference Publications
437,Deep learning of tissue fate features in acute ischemic stroke,N. Stier; N. Vincent; D. Liebeskind; F. Scalzo,"Neurovascular Imaging Research Core, Department of Neurology, Univerisity of California, Los Angeles (UCLA), USA",2015 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),20151217.0,2015,,,1316,1321,"In acute ischemic stroke treatment, prediction of tissue survival outcome plays a fundamental role in the clinical decision-making process, as it can be used to assess the balance of risk vs. possible benefit when considering endovascular clot-retrieval intervention. For the first time, we construct a deep learning model of tissue fate based on randomly sampled local patches from the hypoperfusion (Tmax) feature observed in MRI immediately after symptom onset. We evaluate the model with respect to the ground truth established by an expert neurologist four days after intervention. Experiments on 19 acute stroke patients evaluated the accuracy of the model in predicting tissue fate. Results show the superiority of the proposed regional learning framework versus a single-voxel-based regression model.",,Electronic:978-1-4673-6799-8; POD:978-1-4673-6800-1,10.1109/BIBM.2015.7359869,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7359869,,Biomedical imaging;Convolution;Predictive models,biological tissues;biomedical MRI;decision making;image fusion;learning (artificial intelligence);medical image processing;prediction theory,MRI;acute ischemic stroke treatment;clinical decision-making process;deep learning;endovascular clot-retrieval intervention;hypoperfusion feature;regional learning framework;tissue fate features;tissue fate prediction;tissue survival outcome prediction,,3.0,,32.0,,,,9-12 Nov. 2015,,IEEE,IEEE Conference Publications
438,Temporal Pattern and Association Discovery of Diagnosis Codes Using Deep Learning,S. Mehrabi; S. Sohn; D. Li; J. J. Pankratz; T. Therneau; J. L. S. Sauver; H. Liu; M. Palakal,"Dept. of Health Sci. Res., Mayo Clinic, Rochester, MN, USA",2015 International Conference on Healthcare Informatics,20151210.0,2015,,,408,416,"Longitudinal health records contain data on patients' visits, condition, treatment, and test results representing progression of their health status over time. In poorly understood patient populations, such data are particularly helpful in characterizing disease progression and early detection. In this work we developed a deep learning algorithm for temporal pattern discovery over Rochester Epidemiology Project data. We modeled each patient's records as a matrix of temporal clinical events with ICD9 and HCUP CSS diagnosis codes as rows and years of diagnosis as columns. Patients aged 18 or younger at the time of diagnosis were selected. A deep Boltzmann machine network with three hidden layers was constructed with each patient's diagnosis matrix values as visible nodes. The final weights of the network model were analyzed as the common features among patients' records.",,Electronic:978-1-4673-9548-9; POD:978-1-4673-9549-6,10.1109/ICHI.2015.58,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7349719,Deep Learning;Rochester Epidemiology Project;Temporal Pattern Discovery,Cascading style sheets;Diseases;Machine learning;Medical diagnostic imaging;Sociology;Statistics,Boltzmann machines;data mining;electronic health records;learning (artificial intelligence);matrix algebra;patient diagnosis,HCUP CSS diagnosis;ICD9 diagnosis code;Rochester Epidemiology Project data;deep Boltzmann machine network;deep learning;deep learning algorithm;disease progression;longitudinal health record;patient diagnosis matrix value;temporal association discovery;temporal pattern discovery,,4.0,,45.0,,,,21-23 Oct. 2015,,IEEE,IEEE Conference Publications
439,Clinical deep brain stimulation region prediction using regression forests from high-field MRI,J. Kim; Y. Duchin; G. Sapiro; J. Vitek; N. Harel,"Department of Electrical and Computer Engineering, Duke University, Durham, USA",2015 IEEE International Conference on Image Processing (ICIP),20151210.0,2015,,,2480,2484,"This paper presents a prediction framework of brain subcortical structures which are invisible on clinical low-field MRI, learning detailed information from ultrahigh-field MR training data. Volumetric segmentation of Deep Brain Stimulation (DBS) structures within the Basal ganglia is a prerequisite process for reliable DBS surgery. While ultrahigh-field MR imaging (7 Tesla) allows direct visualization of DBS targeting structures, such ultrahigh-fields are not always clinically available, and therefore the relevant structures need to be predicted from the clinical data. We address the shape prediction problem with a regression forest, non-linearly mapping predictors to target structures with high confidence, exploiting ultrahigh-field MR training data. We consider an application for the subthalamic nucleus (STN) prediction as a crucial DBS target. Experimental results on Parkinson's patients validate that the proposed approach enables reliable estimation of the STN from clinical 1.5T MRI.",,Electronic:978-1-4799-8339-1; POD:978-1-4799-8340-7,10.1109/ICIP.2015.7351248,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7351248,Deep brain stimulation;regression forests;statistical shape models;ultrahigh-field MRI,Magnetic resonance imaging;Predictive models;Satellite broadcasting;Shape;Training;Training data;Vegetation,biomedical MRI;brain;image segmentation;medical image processing;neuromuscular stimulation;regression analysis;surgery,Basal ganglia;DBS surgery;Parkinson patients;STN prediction;brain subcortical structure prediction framework;clinical deep brain stimulation region prediction;clinical low-field MRI;deep brain stimulation structures;direct DBS targeting structure visualization;high-field MRI;nonlinearly mapping predictors;regression forests;shape prediction problem;subthalamic nucleus prediction;ultrahigh-field MR training data;ultrahighfield MR imaging;volumetric segmentation,,,1.0,21.0,,,,27-30 Sept. 2015,,IEEE,IEEE Conference Publications
440,Lung segmentation in chest radiographs using distance regularized level set and deep-structured learning and inference,T. A. Ngo; G. Carneiro,"Australia Centre for Visual Technologies, The University of Adelaide, Australia",2015 IEEE International Conference on Image Processing (ICIP),20151210.0,2015,,,2140,2143,"Computer-aided diagnosis of digital chest X-ray (CXR) images critically depends on the automated segmentation of the lungs, which is a challenging problem due to the presence of strong edges at the rib cage and clavicle, the lack of a consistent lung shape among different individuals, and the appearance of the lung apex. From recently published results in this area, hybrid methodologies based on a combination of different techniques (e.g., pixel classification and deformable models) are producing the most accurate lung segmentation results. In this paper, we propose a new methodology for lung segmentation in CXR using a hybrid method based on a combination of distance regularized level set and deep structured inference. This combination brings together the advantages of deep learning methods (robust training with few annotated samples and top-down segmentation with structured inference and learning) and level set methods (use of shape and appearance priors and efficient optimization techniques). Using the publicly available Japanese Society of Radiological Technology (JSRT) dataset, we show that our approach produces the most accurate lung segmentation results in the field. In particular, depending on the initialization used, our methodology produces an average accuracy on JSTR that varies from 94.8% to 98.5%.",,Electronic:978-1-4799-8339-1; POD:978-1-4799-8340-7,10.1109/ICIP.2015.7351179,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7351179,Deep learning;Level set methods;Lung segmentation,Databases;Image segmentation;Level set;Lungs;Optimization;Shape;Training,diagnostic radiography;image segmentation;inference mechanisms;learning (artificial intelligence);lung;medical image processing;set theory,CXR images;JSRT dataset;Japanese Society of Radiological Technology dataset;automated lung segmentation;chest radiographs;clavicle;computer-aided diagnosis;deep learning methods;deep-structured inference;deep-structured learning;deformable models;digital chest X-ray images;distance regularized level set method;lung apex appearance;lung shape;optimization techniques;pixel classification;rib cage;top-down segmentation,,3.0,,14.0,,,,27-30 Sept. 2015,,IEEE,IEEE Conference Publications
441,Deep structured learning for mass segmentation from mammograms,N. Dhungel; G. Carneiro; A. P. Bradley,"School of Information Technology and Electrical Engineering, The University of Queensland",2015 IEEE International Conference on Image Processing (ICIP),20151210.0,2015,,,2950,2954,"In this paper, we present a novel method for the segmentation of breast masses from mammograms exploring structured and deep learning. Specifically, using structured support vector machine (SSVM), we formulate a model that combines different types of potential functions, including one that classifies image regions using deep learning. Our main goal with this work is to show the accuracy and efficiency improvements that these relatively new techniques can provide for the segmentation of breast masses from mammograms. We also propose an easily reproducible quantitative analysis to assess the performance of breast mass segmentation methodologies based on widely accepted accuracy and running time measurements on public datasets, which will facilitate further comparisons for this segmentation problem. In particular, we use two publicly available datasets (DDSM-BCRP and INbreast) and propose the computation of the running time taken for the methodology to produce a mass segmentation given an input image and the use of the Dice index to quantitatively measure the segmentation accuracy. For both databases, we show that our proposed methodology produces competitive results in terms of accuracy and running time.",,Electronic:978-1-4799-8339-1; POD:978-1-4799-8340-7,10.1109/ICIP.2015.7351343,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7351343,Mammograms;mass segmentation;structured inference;structured learning,Breast cancer;Image segmentation;Indexes;Mammography;Training,image segmentation;learning (artificial intelligence);mammography;medical image processing;support vector machines,DDSM-BCRP;Dice index;INbreast;SSVM;breast mass segmentation;deep structured learning;image regions;mammograms;structured support vector machine,,1.0,,19.0,,,,27-30 Sept. 2015,,IEEE,IEEE Conference Publications
442,FingerNet: Deep learning-based robust finger joint detection from radiographs,S. Lee; M. Choi; H. s. Choi; M. S. Park; S. Yoon,"EECS, Seoul National University, Seoul, 151-744, Korea",2015 IEEE Biomedical Circuits and Systems Conference (BioCAS),20151207.0,2015,,,1,4,"Radiographic image assessment is the most common method used to measure physical maturity and diagnose growth disorders, hereditary diseases and rheumatoid arthritis, with hand radiography being one of the most frequently used techniques due to its simplicity and minimal exposure to radiation. Finger joints are considered as especially important factors in hand skeleton examination. Although several automation methods for finger joint detection have been proposed, low accuracy and reliability are hindering full-scale adoption into clinical fields. In this paper, we propose FingerNet, a novel approach for the detection of all finger joints from hand radiograph images based on convolutional neural networks, which requires little user intervention. The system achieved 98.02% average detection accuracy for 130 test data sets containing over 1,950 joints. Further analysis was performed to verify the system robustness against factors such as epiphysis and metaphysis in different age groups.",,Electronic:978-1-4799-7234-0; POD:978-1-4799-7235-7; USB:978-1-4799-7233-3,10.1109/BioCAS.2015.7348440,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7348440,,Bones;Convolution;Joints;Merging;Radiography;Thumb,diagnostic radiography;learning (artificial intelligence);medical image processing;neural nets,FingerNet;convolutional neural networks;deep learning-based robust finger joint detection;epiphysis;metaphysis;radiograph images,,,,18.0,,,,22-24 Oct. 2015,,IEEE,IEEE Conference Publications
443,A deep architecture for visually analyze Pap cells,O. Chang; P. Constante; A. Gordon; M. Singania; F. Acuna,"Universidad de las Fuerzas Armadas. ESPE Extension Latacunga, Ecuador 050150",2015 IEEE 2nd Colombian Conference on Automatic Control (CCAC),20151203.0,2015,,,1,6,"This work proposes a deep ANN architecture which accomplishes the reliable visual classification of abnormal Pap smear cell. The system is driven by independent agents where the first agent consists of a three layer ANN pretrained to closely track a reticle pattern. This net participates in a local close loop that oscillates and produces unique time-space versions of the visual data. This information is stabilized and sparsed in order to obtain compact data representations, with implicit space time content. The obtained representations are delivered to second level agents, formed by independent three layers ANNs dedicated to learning and recognition activities. To train the system a noise-balanced algorithm is employed, where the training set is composed by pap cells and white noise. This combination operating on finite databases and in a self controlled learning loop, auto develops enough cell recognition knowledge as to classify whole classes of Pap smear cells. The system has been tested in real time utilizing documented data bases.",,Electronic:978-1-4673-9305-8; POD:978-1-4673-9306-5; USB:978-1-4673-9304-1,10.1109/CCAC.2015.7345210,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7345210,Pap cell recognition;deep architectures;deep learning;noise balanced learning,Artificial neural networks;Backpropagation;Computer architecture;Databases;Neurons;Tracking;Training,image classification;medical image processing;neural net architecture,abnormal Pap smear cell;deep ANN architecture;finite databases;noise-balanced algorithm;reticle pattern;visual classification,,,,16.0,,,,14-16 Oct. 2015,,IEEE,IEEE Conference Publications
444,Deep independence network analysis of structural brain imaging: A simulation study,E. Castro; D. Hjelm; S. Plis; L. Dinh; J. Turner; V. Calhoun,"The Mind Research Network, NM, USA",2015 IEEE 25th International Workshop on Machine Learning for Signal Processing (MLSP),20151112.0,2015,,,1,6,"The objective of this paper is to further validate theoretically and empirically a nonlinear independent component analysis (ICA) algorithm implemented with a deep learning architecture. We first revisited its formulation to verify its consistency with the criterion of minimization of mutual information. Then, we applied the nonlinear independent component estimation algorithm (NICE) to synthetic 2D images that resemble structural magnetic resonance imaging (sMRI) data. This data was generated by mixing spatial components that represent axial slices of sMRI tissue concentration images. Next, we generated the images under linear and mildly nonlinear mixtures, being able to show that NICE matches ICA when the data is generated by using the conventional linear mixture and outperforms ICA for the nonlinear mixture of components. The obtained results are promising and suggest that NICE has potential to find richer brain networks if applied to real sMRI data, provided that small conditioning adjustments are performed along with this approach.",1551-2541;15512541,Electronic:978-1-4673-7454-5; POD:978-1-4673-7455-2,10.1109/MLSP.2015.7324318,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7324318,NICE;Nonlinear ICA;deep learning;simulation;structural MRI,Brain;Couplings;Imaging;Independent component analysis;Jacobian matrices;Machine learning;Mutual information,biological tissues;biomedical MRI;brain;independent component analysis;learning (artificial intelligence);medical image processing;minimisation;network analysis;neurophysiology,ICA;MRI data;MRI tissue concentration imaging;NICE matches;axial slices;brain networks;conventional linear mixture;deep independence network analysis;deep learning architecture;mildly nonlinear mixtures;minimization criterion;nonlinear independent component analysis;spatial components;structural brain imaging;structural magnetic resonance imaging data;synthetic 2D imaging,,1.0,,18.0,,,,17-20 Sept. 2015,,IEEE,IEEE Conference Publications
445,Synthetic structural magnetic resonance image generator improves deep learning prediction of schizophrenia,A. Ulloa; S. Plis; E. Erhardt; V. Calhoun,"Dept. of Electrical and Computer Engineering, University of New Mexico, Albuquerque, NM, USA",2015 IEEE 25th International Workshop on Machine Learning for Signal Processing (MLSP),20151112.0,2015,,,1,6,"Despite the rapidly growing interest, progress in the study of relations between physiological abnormalities and mental disorders is hampered by complexity of the human brain and high costs of data collection. The complexity can be captured by deep learning approaches, but they still may require significant amounts of data. In this paper, we seek to mitigate the latter challenge by developing a generator for synthetic realistic training data. Our method greatly improves generalization in classification of schizophrenia patients and healthy controls from their structural magnetic resonance images. A feed forward neural network trained exclusively on continuously generated synthetic data produces the best area under the curve compared to classifiers trained on real data alone.",1551-2541;15512541,Electronic:978-1-4673-7454-5; POD:978-1-4673-7455-2,10.1109/MLSP.2015.7324379,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7324379,,Biological neural networks;Generators;Machine learning;Magnetic resonance imaging;Neuroimaging;Probability density function;Training,biomedical MRI;brain;medical disorders,data collection;deep learning approaches;human brain;mental disorders;physiological abnormalities;schizophrenia patients;synthetic realistic training data;synthetic structural magnetic resonance image generator,,,,19.0,,,,17-20 Sept. 2015,,IEEE,IEEE Conference Publications
446,Investigating deep learning for fNIRS based BCI,J. Hennrich; C. Herff; D. Heger; T. Schultz,"Cognitive Systems Lab, Karlsruhe Institute of Technology, Germany",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),20151105.0,2015,,,2844,2847,"Functional Near infrared Spectroscopy (fNIRS) is a relatively young modality for measuring brain activity which has recently shown promising results for building Brain Computer Interfaces (BCI). Due to its infancy, there are still no standard approaches for meaningful features and classifiers for single trial analysis of fNIRS. Most studies are limited to established classifiers from EEG-based BCIs and very simple features. The feasibility of more complex and powerful classification approaches like Deep Neural Networks has, to the best of our knowledge, not been investigated for fNIRS based BCI. These networks have recently become increasingly popular, as they outperformed conventional machine learning methods for a variety of tasks, due in part to advances in training methods for neural networks. In this paper, we show how Deep Neural Networks can be used to classify brain activation patterns measured by fNIRS and compare them with previously used methods.",1094-687X;1094687X,DVD:978-1-4244-9270-1; Electronic:978-1-4244-9271-8; POD:978-1-4244-9269-5,10.1109/EMBC.2015.7318984,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7318984,,Accuracy;Biological neural networks;Feature extraction;Standards;Training;Yttrium,biomedical optical imaging;brain-computer interfaces;electroencephalography;feature extraction;infrared spectroscopy;learning (artificial intelligence);medical signal processing;neural nets;neurophysiology;signal classification,EEG-based BCIs;brain activation pattern classification;brain activity measurement;brain-computer interfaces;conventional machine learning methods;deep learning;deep neural networks;fNIRS based BCI;functional near infrared spectroscopy;single trial analysis classifiers;single trial analysis features;young modality,,3.0,,23.0,,,,25-29 Aug. 2015,,IEEE,IEEE Conference Publications
447,Glaucoma detection based on deep convolutional neural network,X. Chen; Y. Xu; D. W. Kee Wong; T. Y. Wong; J. Liu,"Institute for Infocomm Research, Agency for Science, Technology and Research, 138632, Singapore",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),20151105.0,2015,,,715,718,"Glaucoma is a chronic and irreversible eye disease, which leads to deterioration in vision and quality of life. In this paper, we develop a deep learning (DL) architecture with convolutional neural network for automated glaucoma diagnosis. Deep learning systems, such as convolutional neural networks (CNNs), can infer a hierarchical representation of images to discriminate between glaucoma and non-glaucoma patterns for diagnostic decisions. The proposed DL architecture contains six learned layers: four convolutional layers and two fully-connected layers. Dropout and data augmentation strategies are adopted to further boost the performance of glaucoma diagnosis. Extensive experiments are performed on the ORIGA and SCES datasets. The results show area under curve (AUC) of the receiver operating characteristic curve in glaucoma detection at 0.831 and 0.887 in the two databases, much better than state-of-the-art algorithms. The method could be used for glaucoma detection.",1094-687X;1094687X,DVD:978-1-4244-9270-1; Electronic:978-1-4244-9271-8; POD:978-1-4244-9269-5,10.1109/EMBC.2015.7318462,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7318462,,Biomedical optical imaging;Diseases;Machine learning;Neural networks;Optical imaging;Prediction algorithms;Training,diseases;image representation;learning (artificial intelligence);medical image processing;neural nets;object detection,AUC;CNNs;DL architecture;ORIGA datasets;SCES datasets;area under curve;automated glaucoma diagnosis;data augmentation strategy;deep convolutional neural network;deep learning architecture;dropout augmentation strategy;glaucoma detection;glaucoma patterns;hierarchical image representation;irreversible eye disease;nonglaucoma patterns;receiver operating characteristic curve,,,,18.0,,,,25-29 Aug. 2015,,IEEE,IEEE Conference Publications
448,A unified framework for automatic wound segmentation and analysis with deep convolutional neural networks,C. Wang; X. Yan; M. Smith; K. Kochhar; M. Rubin; S. M. Warren; J. Wrobel; H. Lee,"Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, USA",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),20151105.0,2015,,,2415,2418,"Wound surface area changes over multiple weeks are highly predictive of the wound healing process. Furthermore, the quality and quantity of the tissue in the wound bed also offer important prognostic information. Unfortunately, accurate measurements of wound surface area changes are out of reach in the busy wound practice setting. Currently, clinicians estimate wound size by estimating wound width and length using a scalpel after wound treatment, which is highly inaccurate. To address this problem, we propose an integrated system to automatically segment wound regions and analyze wound conditions in wound images. Different from previous segmentation techniques which rely on handcrafted features or unsupervised approaches, our proposed deep learning method jointly learns task-relevant visual features and performs wound segmentation. Moreover, learned features are applied to further analysis of wounds in two ways: infection detection and healing progress prediction. To the best of our knowledge, this is the first attempt to automate long-term predictions of general wound healing progress. Our method is computationally efficient and takes less than 5 seconds per wound image (480 by 640 pixels) on a typical laptop computer. Our evaluations on a large-scale wound database demonstrate the effectiveness and reliability of the proposed system.",1094-687X;1094687X,DVD:978-1-4244-9270-1; Electronic:978-1-4244-9271-8; POD:978-1-4244-9269-5,10.1109/EMBC.2015.7318881,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7318881,,Feature extraction;Image segmentation;Neural networks;Support vector machines;Training;Visualization;Wounds,biological tissues;feature extraction;image segmentation;medical image processing;neural nets;unsupervised learning,deep convolutional neural networks;deep learning method;handcrafted features;healing progress prediction;infection detection;large-scale wound database;long-term predictions;prognostic information;task-relevant visual features;tissue quality;tissue quantity;unified automatic wound segmentation framework;unsupervised approach;wound healing process;wound images;wound surface area measurements;wound treatment,,,,24.0,,,,25-29 Aug. 2015,,IEEE,IEEE Conference Publications
449,Deep neural network and random forest hybrid architecture for learning to detect retinal vessels in fundus images,D. Maji; A. Santara; S. Ghosh; D. Sheet; P. Mitra,"Indian Institute of Technology Kharagpur, WB 721302, India",2015 37th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),20151105.0,2015,,,3029,3032,"Vision impairment due to pathological damage of the retina can largely be prevented through periodic screening using fundus color imaging. However the challenge with large-scale screening is the inability to exhaustively detect fine blood vessels crucial to disease diagnosis. In this work we present a computational imaging framework using deep and ensemble learning based hybrid architecture for reliable detection of blood vessels in fundus color images. A deep neural network (DNN) is used for unsupervised learning of vesselness dictionaries using sparse trained denoising auto-encoders (DAE), followed by supervised learning of the DNN response using a random forest for detecting vessels in color fundus images. In experimental evaluation with the DRIVE database, we achieve the objective of vessel detection with max. avg. accuracy of 0.9327 and area under ROC curve of 0.9195.",1094-687X;1094687X,DVD:978-1-4244-9270-1; Electronic:978-1-4244-9271-8; POD:978-1-4244-9269-5,10.1109/EMBC.2015.7319030,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7319030,Computational imaging;deep learning;denoising auto-encoder;random forests;vessel detection,Biomedical imaging;Image analysis;Radio frequency;Retinal vessels;Vegetation,biomedical optical imaging;blood vessels;diseases;eye;image denoising;learning (artificial intelligence);medical image processing;vision defects,DNN response;DRIVE database;ROC curve;blood vessels;computational imaging framework;deep network;deep neural network;disease diagnosis;fundus color imaging;large-scale screening;learning based hybrid architecture;pathological damage;periodic screening;random forest hybrid architecture;retinal vessel detection;sparse trained denoising autoencoders;unsupervised learning;vision impairment,,1.0,,16.0,,,,25-29 Aug. 2015,,IEEE,IEEE Conference Publications
450,Detection of exudates in fundus photographs using convolutional neural networks,P. Prentašić; S. Lončarić,"University of Zagreb, Faculty of Electrical Engineering and Computing, Unska 3, Image Processing Group 10000, Croatia",2015 9th International Symposium on Image and Signal Processing and Analysis (ISPA),20151026.0,2015,,,188,192,"Diabetic retinopathy is one of the leading causes of preventable blindness in the developed world. Early diagnosis of diabetic retinopathy enables timely treatment and in order to achieve it a major effort will have to be invested into screening programs and especially into automated screening programs. Detection of exudates is very important for early diagnosis of diabetic retinopathy. Deep neural networks have proven to be a very promising machine learning technique, and have shown excellent results in different compute vision problems. In this paper we show that convolutional neural networks can be effectively used in order to detect exudates in color fundus photographs.",1845-5921;18455921,Electronic:978-1-4673-8032-4; POD:978-1-4673-8033-1,10.1109/ISPA.2015.7306056,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7306056,,Convolution;Diabetes;Neural networks;Optical imaging;Optical sensors;Retina;Retinopathy,biomedical optical imaging;colour photography;diseases;eye;image colour analysis;medical image processing;neural nets;object detection,color fundus photographs;convolutional neural networks;deep neural networks;diabetic retinopathy;early diagnosis;exudate detection;machine learning technique;preventable blindness,,,,31.0,,,,7-9 Sept. 2015,,IEEE,IEEE Conference Publications
451,Automatic Feature Learning to Grade Nuclear Cataracts Based on Deep Learning,X. Gao; S. Lin; T. Y. Wong,"Institute for Infocomm Research, Agency for Science, Technology and Research, Singapore",IEEE Transactions on Biomedical Engineering,20151026.0,2015,62,11.0,2693,2701,"Goal: Cataracts are a clouding of the lens and the leading cause of blindness worldwide. Assessing the presence and severity of cataracts is essential for diagnosis and progression monitoring, as well as to facilitate clinical research and management of the disease. Methods: Existing automatic methods for cataract grading utilize a predefined set of image features that may provide an incomplete, redundant, or even noisy representation. In this study, we propose a system to automatically learn features for grading the severity of nuclear cataracts from slit-lamp images. Local filters are first acquired through clustering of image patches from lenses within the same grading class. The learned filters are fed into a convolutional neural network, followed by a set of recursive neural networks, to further extract higher order features. With these features, support vector regression is applied to determine the cataract grade. Results: The proposed system is validated on a large population-based dataset of 5378 images, where it outperforms the state of the art by yielding with respect to clinical grading a mean absolute error (ε) of 0.304, a 70.7% exact integral agreement ratio (R<sub>0</sub>), an 88.4% decimal grading error ≤0.5 (R<sub>e0.5</sub>), and a 99.0% decimal grading error ≤1.0 (R<sub>e1.0</sub>). Significance: The proposed method is useful for assisting and improving clinical management of the disease in the context of large-population screening and has the potential to be applied to other eye diseases.",0018-9294;00189294,,10.1109/TBME.2015.2444389,"10.13039/501100001348 - Agency for Science, Technology and Research, Singapore; ",http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7122265,Automatic Feature Learning;Automatic feature learning;Cataract Grading;Deep Learning;cataract grading;deep learning,Feature extraction;Image color analysis;Lenses;Neural networks;Standards;Training;Visualization,biomedical optical imaging;diseases;eye;image denoising;image representation;learning (artificial intelligence);medical image processing;regression analysis;support vector machines;vision defects,automatic feature learning;clinical grading;clinical management;clouding;decimal grading error;deep learning;diagnosis monitoring;eye diseases;image patch clustering;integral agreement ratio;large-population screening;lens;local filters;mean absolute error;noisy representation;nuclear cataracts;population-based dataset;progression monitoring;slit-lamp imaging,"Adult;Algorithms;Cataract;Diagnostic Techniques, Ophthalmological;Humans;Lens, Crystalline;Neural Networks (Computer)",3.0,,38.0,,,20150611.0,Nov. 2015,,IEEE,IEEE Journals & Magazines
452,A Configurable Deep Network for high-dimensional clinical trial data,J. O' Donoghue; M. Roantree; M. Van Boxtel,"Insight Centre for Data Analytics, School of Computing, Dublin City University, Glasnevin, Dublin 9, Ireland",2015 International Joint Conference on Neural Networks (IJCNN),20151001.0,2015,,,1,8,"Clinical studies provide interesting case studies for data mining researchers, given the often high degree of dimensionality and long term nature of these studies. In areas such as dementia, accurate predictions from data scientists provide vital input into the understanding of how certain features (representing lifestyle) can predict outcomes such as dementia. Most research involved has used traditional or shallow data mining approaches which have been shown to offer varying degrees of accuracy in datasets with high dimensionality. In this research, we explore the use of deep learning architectures, as they have been shown to have high predictive capabilities in image and audio datasets. The purpose of our research is to build a framework which allows easy reconfiguration for the performance of experiments across a number of deep learning approaches. In this paper, we present our framework for a configurable deep learning machine and our evaluation and analysis of two shallow approaches: regression and multi-layer perceptron, as a platform to a deep belief network, and using a dataset created over the course of 12 years by researchers in the area of dementia.",2161-4393;21614393,Electronic:978-1-4799-1960-4; POD:978-1-4799-1961-1,10.1109/IJCNN.2015.7280841,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7280841,,Dementia,belief networks;data mining;learning (artificial intelligence);medical disorders;medical information systems;multilayer perceptrons,audio dataset;clinical study;configurable deep learning machine;configurable deep network;data mining researcher;data scientist;deep belief network;deep learning architecture;dementia;easy reconfiguration;high-dimensional clinical trial data;image dataset;multilayer perceptron;predictive capability;regression perception,,1.0,,27.0,,,,12-17 July 2015,,IEEE,IEEE Conference Publications
